"Heure";"Nb Ventes";"Montant Remises";"Marge Totale";"Chiffre d'Affaires";"Qté"
"00:00";175;20,00;1614,51;1922,10;290
"00:30";104;0,00;1086,58;1289,80;192
"01:00";72;0,00;846,21;1007,90;142
"01:30";26;0,00;467,47;555,90;84
"02:00";10;0,00;104,05;123,70;17
"02:30";2;0,00;21,25;25,50;3
"03:00";5;0,00;111,33;130,60;9
"03:30";4;0,00;121,03;140,90;22
"04:00";1;0,00;4,83;5,80;1
"04:30";2;0,00;9,97;11,50;2
"13:00";1;0,00;3,64;4,00;1
"13:30";10;0,00;125,15;144,50;27
"14:00";22;0,00;140,01;158,30;31
"14:30";5;0,00;24,38;28,80;6
"15:00";14;0,00;88,84;102,10;23
"15:30";34;0,00;167,16;191,90;47
"16:00";73;0,00;387,48;448,00;101
"16:30";83;0,00;464,99;543,10;118
"17:00";156;0,00;993,05;1156,80;231
"17:30";133;0,00;856,44;1006,00;195
"18:00";252;0,00;1767,17;2074,00;395
"18:30";432;0,00;2975,57;3503,00;653
"19:00";623;0,00;4285,76;5044,10;900
"19:30";655;0,00;4717,59;5556,90;913
"20:00";642;0,00;5836,30;6849,70;1070
"20:30";766;0,00;6557,82;7714,00;1236,5
"21:00";869;0,00;7318,71;8635,38;1407,68
"21:30";601;0,00;5400,55;6377,13;1026,82
"22:00";498;0,00;4484,85;5311,30;824
"22:30";441;0,00;4183,90;4943,50;783
"23:00";398;0,00;3591,41;4255,50;677
"23:30";271;4,90;2368,91;2799,20;448
